,num_candles,median_multiplier,sdev_multiplier,window_lookback,ending_capital
0,2,2,6,24,30880.44127671588
1,2,2,8,24,37593.8008562556
2,2,2,10,24,33621.42901167509
3,2,2,12,24,34330.82575013802
4,2,2,14,24,35961.41987168706
5,2,2,16,24,35961.41987168706
6,2,2,18,24,35961.41987168706
7,2,2,20,24,35961.41987168706
8,2,2,22,24,35961.41987168706
9,2,2,24,24,35961.41987168706
10,2,3,6,24,33348.68855872515
11,2,3,8,24,33387.73862359106
12,2,3,10,24,34388.28898811389
13,2,3,12,24,35961.41987168706
14,2,3,14,24,35961.41987168706
15,2,3,16,24,35961.41987168706
16,2,3,18,24,35961.41987168706
17,2,3,20,24,35961.41987168706
18,2,3,22,24,35961.41987168706
19,2,3,24,24,35961.41987168706
20,2,4,6,24,36363.31466930712
21,2,4,8,24,33389.197125675564
22,2,4,10,24,35128.60441372644
23,2,4,12,24,35961.41987168706
24,2,4,14,24,35961.41987168706
25,2,4,16,24,35961.41987168706
26,2,4,18,24,35961.41987168706
27,2,4,20,24,35961.41987168706
28,2,4,22,24,35961.41987168706
29,2,4,24,24,35961.41987168706
30,2,5,6,24,34488.514914615254
31,2,5,8,24,34955.34104735326
32,2,5,10,24,35966.30218067761
33,2,5,12,24,35961.41987168706
34,2,5,14,24,35961.41987168706
35,2,5,16,24,35961.41987168706
36,2,5,18,24,35961.41987168706
37,2,5,20,24,35961.41987168706
38,2,5,22,24,35961.41987168706
39,2,5,24,24,35961.41987168706
40,2,6,6,24,34169.98522180362
41,2,6,8,24,35128.60441372644
42,2,6,10,24,35961.41987168706
43,2,6,12,24,35961.41987168706
44,2,6,14,24,35961.41987168706
45,2,6,16,24,35961.41987168706
46,2,6,18,24,35961.41987168706
47,2,6,20,24,35961.41987168706
48,2,6,22,24,35961.41987168706
49,2,6,24,24,35961.41987168706
50,2,7,6,24,34226.531970904005
51,2,7,8,24,35966.30218067761
52,2,7,10,24,35961.41987168706
53,2,7,12,24,35961.41987168706
54,2,7,14,24,35961.41987168706
55,2,7,16,24,35961.41987168706
56,2,7,18,24,35961.41987168706
57,2,7,20,24,35961.41987168706
58,2,7,22,24,35961.41987168706
59,2,7,24,24,35961.41987168706
60,2,8,6,24,34930.858322601074
61,2,8,8,24,35966.30218067761
62,2,8,10,24,35961.41987168706
63,2,8,12,24,35961.41987168706
64,2,8,14,24,35961.41987168706
65,2,8,16,24,35961.41987168706
66,2,8,18,24,35961.41987168706
67,2,8,20,24,35961.41987168706
68,2,8,22,24,35961.41987168706
69,2,8,24,24,35961.41987168706
70,2,9,6,24,35966.30218067761
71,2,9,8,24,35966.30218067761
72,2,9,10,24,35961.41987168706
73,2,9,12,24,35961.41987168706
74,2,9,14,24,35961.41987168706
75,2,9,16,24,35961.41987168706
76,2,9,18,24,35961.41987168706
77,2,9,20,24,35961.41987168706
78,2,9,22,24,35961.41987168706
79,2,9,24,24,35961.41987168706
80,2,10,6,24,35966.30218067761
81,2,10,8,24,35961.41987168706
82,2,10,10,24,35961.41987168706
83,2,10,12,24,35961.41987168706
84,2,10,14,24,35961.41987168706
85,2,10,16,24,35961.41987168706
86,2,10,18,24,35961.41987168706
87,2,10,20,24,35961.41987168706
88,2,10,22,24,35961.41987168706
89,2,10,24,24,35961.41987168706
90,3,2,6,24,25161.566982859862
91,3,2,8,24,31152.431120678273
92,3,2,10,24,36325.849089112184
93,3,2,12,24,34378.98427513699
94,3,2,14,24,33116.76152477693
95,3,2,16,24,34330.82575013802
96,3,2,18,24,35259.40673555512
97,3,2,20,24,35961.41987168706
98,3,2,22,24,35961.41987168706
99,3,2,24,24,35961.41987168706
100,3,3,6,24,23840.431589159864
101,3,3,8,24,30458.484439397424
102,3,3,10,24,37126.74278527127
103,3,3,12,24,34571.38315005136
104,3,3,14,24,34330.82575013802
105,3,3,16,24,35264.19373559921
106,3,3,18,24,35961.41987168706
107,3,3,20,24,35961.41987168706
108,3,3,22,24,35961.41987168706
109,3,3,24,24,35961.41987168706
110,3,4,6,24,28434.287898392842
111,3,4,8,24,32647.496872785217
112,3,4,10,24,36153.34827285484
113,3,4,12,24,33588.32263247877
114,3,4,14,24,34330.82575013802
115,3,4,16,24,35966.30218067761
116,3,4,18,24,35961.41987168706
117,3,4,20,24,35961.41987168706
118,3,4,22,24,35961.41987168706
119,3,4,24,24,35961.41987168706
120,3,5,6,24,31745.814765587802
121,3,5,8,24,36339.58005537843
122,3,5,10,24,33559.65088069337
123,3,5,12,24,34330.82575013802
124,3,5,14,24,35966.30218067761
125,3,5,16,24,35961.41987168706
126,3,5,18,24,35961.41987168706
127,3,5,20,24,35961.41987168706
128,3,5,22,24,35961.41987168706
129,3,5,24,24,35961.41987168706
130,3,6,6,24,32652.64685314257
131,3,6,8,24,36442.071524192615
132,3,6,10,24,32837.90602112683
133,3,6,12,24,35966.30218067761
134,3,6,14,24,35966.30218067761
135,3,6,16,24,35961.41987168706
136,3,6,18,24,35961.41987168706
137,3,6,20,24,35961.41987168706
138,3,6,22,24,35961.41987168706
139,3,6,24,24,35961.41987168706
140,3,7,6,24,33587.40036159413
141,3,7,8,24,34116.52052383654
142,3,7,10,24,35187.40298064339
143,3,7,12,24,35966.30218067761
144,3,7,14,24,35966.30218067761
145,3,7,16,24,35961.41987168706
146,3,7,18,24,35961.41987168706
147,3,7,20,24,35961.41987168706
148,3,7,22,24,35961.41987168706
149,3,7,24,24,35961.41987168706
150,3,8,6,24,34007.81969655239
151,3,8,8,24,33379.39275333444
152,3,8,10,24,35966.30218067761
153,3,8,12,24,35966.30218067761
154,3,8,14,24,35961.41987168706
155,3,8,16,24,35961.41987168706
156,3,8,18,24,35961.41987168706
157,3,8,20,24,35961.41987168706
158,3,8,22,24,35961.41987168706
159,3,8,24,24,35961.41987168706
160,3,9,6,24,35456.09145353059
161,3,9,8,24,35221.61345270811
162,3,9,10,24,35966.30218067761
163,3,9,12,24,35966.30218067761
164,3,9,14,24,35961.41987168706
165,3,9,16,24,35961.41987168706
166,3,9,18,24,35961.41987168706
167,3,9,20,24,35961.41987168706
168,3,9,22,24,35961.41987168706
169,3,9,24,24,35961.41987168706
170,3,10,6,24,34967.680746823025
171,3,10,8,24,35966.30218067761
172,3,10,10,24,35966.30218067761
173,3,10,12,24,35966.30218067761
174,3,10,14,24,35961.41987168706
