ticker,trade_min,trade_max
USD-TRY,0.002036423914835676,0.015099853872381917
EUR-USD,0.0016504005566757626,0.009991774143643013
USD-CAD,0.0017425503538642355,0.00940812423721155
USD-CHF,0.0017782172721280555,0.010299663436194748
US30-USD,0.002264287655103704,0.019227081419877067
USD-JPY,0.0016406890894175331,0.010311463422388475
AUD-USD,0.0023852463784980013,0.013584273361060599
GBP-USD,0.0017190040265484196,0.010100501246819875
NAS100-USD,0.0031796502384738973,0.02213961173068976
USD-MXN,0.0018672098549880737,0.012112786326557812
