A,B,C
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
10000.0,10000.0,10000.0
9005.0,9005.0,9005.0
9005.0,9005.0,9005.0
9005.0,9005.0,9005.0
9005.0,9005.0,9005.0
9058.353357733928,9058.353357733928,9058.353357733928
9058.353357733928,9058.353357733928,9058.353357733928
9058.353357733928,9058.353357733928,9058.353357733928
9058.353357733928,9058.353357733928,9058.353357733928
9058.353357733928,9058.353357733928,9058.353357733928
9058.353357733928,9058.353357733928,9058.353357733928
9058.353357733928,9058.353357733928,9058.353357733928
8129.872138566199,9058.353357733928,9058.353357733928
8388.991458557944,10150.784571928707,10150.784571928707
8388.991458557944,10150.784571928707,10150.784571928707
7529.119834055755,9110.329153306015,9110.329153306015
7529.119834055755,9110.329153306015,9110.329153306015
7529.119834055755,9110.329153306015,9110.329153306015
7529.119834055755,9110.329153306015,9110.329153306015
7529.119834055755,9110.329153306015,9110.329153306015
7580.738203362855,9110.329153306015,9110.329153306015
7629.457648366728,9169.280291013247,9169.280291013247
9752.446023290942,10425.184820939934,10425.184820939934
9752.446023290942,10425.184820939934,10425.184820939934
9752.446023290942,10425.184820939934,10425.184820939934
9752.446023290942,10425.184820939934,10425.184820939934
9752.446023290942,10425.184820939934,10425.184820939934
9752.446023290942,10425.184820939934,10425.184820939934
9752.446023290942,10425.184820939934,10425.184820939934
9752.446023290942,10425.184820939934,10425.184820939934
9752.446023290942,10425.184820939934,10425.184820939934
9752.446023290942,10425.184820939934,10425.184820939934
9752.446023290942,10425.184820939934,10425.184820939934
9752.446023290942,10425.184820939934,10425.184820939934
9752.446023290942,10425.184820939934,10425.184820939934
9752.446023290942,10425.184820939934,10425.184820939934
9752.446023290942,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
9803.786767690315,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
10579.986310119923,10425.184820939934,10425.184820939934
9527.27767226299,9387.87893125641,9387.87893125641
9527.27767226299,9387.87893125641,9387.87893125641
9583.879334133899,9443.652423667469,9443.652423667469
9583.879334133899,9443.652423667469,9443.652423667469
9583.879334133899,9443.652423667469,9443.652423667469
9583.879334133899,9443.652423667469,9443.652423667469
9583.879334133899,9443.652423667469,9443.652423667469
9583.879334133899,9443.652423667469,9443.652423667469
9583.879334133899,9443.652423667469,9443.652423667469
10745.225218896372,10588.006030071103,10588.006030071103
10745.225218896372,10588.006030071103,10588.006030071103
9676.075309616182,9534.499430079028,9534.499430079028
9676.075309616182,9534.499430079028,9534.499430079028
9676.075309616182,9534.499430079028,9534.499430079028
9676.075309616182,9534.499430079028,9534.499430079028
9676.075309616182,9534.499430079028,9534.499430079028
9738.836733047136,9596.342557254637,9596.342557254637
9738.836733047136,9596.342557254637,9596.342557254637
10734.113218947412,10577.056615789972,10577.056615789972
10734.113218947412,10577.056615789972,10577.056615789972
10734.113218947412,10577.056615789972,10577.056615789972
10734.113218947412,10577.056615789972,10577.056615789972
10734.113218947412,10577.056615789972,10577.056615789972
10734.113218947412,10577.056615789972,10577.056615789972
10734.113218947412,10577.056615789972,10577.056615789972
10734.113218947412,10577.056615789972,10577.056615789972
10734.113218947412,10577.056615789972,10577.056615789972
10734.113218947412,10577.056615789972,10577.056615789972
