,24,36,48,60,72
2-2-6,2-2-6,2-2-6,2-2-6,2-2-6,2-2-6
2-2-8,2-2-8,2-2-8,2-2-8,2-2-8,2-2-8
2-2-10,2-2-10,2-2-10,2-2-10,2-2-10,2-2-10
2-2-12,2-2-12,2-2-12,2-2-12,2-2-12,2-2-12
2-2-14,2-2-14,2-2-14,2-2-14,2-2-14,2-2-14
2-2-16,2-2-16,2-2-16,2-2-16,2-2-16,2-2-16
2-2-18,2-2-18,2-2-18,2-2-18,2-2-18,2-2-18
2-2-20,2-2-20,2-2-20,2-2-20,2-2-20,2-2-20
2-2-22,2-2-22,2-2-22,2-2-22,2-2-22,2-2-22
2-2-24,2-2-24,2-2-24,2-2-24,2-2-24,2-2-24
2-3-6,2-3-6,2-3-6,2-3-6,2-3-6,2-3-6
2-3-8,2-3-8,2-3-8,2-3-8,2-3-8,2-3-8
2-3-10,2-3-10,2-3-10,2-3-10,2-3-10,2-3-10
2-3-12,2-3-12,2-3-12,2-3-12,2-3-12,2-3-12
2-3-14,2-3-14,2-3-14,2-3-14,2-3-14,2-3-14
2-3-16,2-3-16,2-3-16,2-3-16,2-3-16,2-3-16
2-3-18,2-3-18,2-3-18,2-3-18,2-3-18,2-3-18
2-3-20,2-3-20,2-3-20,2-3-20,2-3-20,2-3-20
2-3-22,2-3-22,2-3-22,2-3-22,2-3-22,2-3-22
2-3-24,2-3-24,2-3-24,2-3-24,2-3-24,2-3-24
2-4-6,2-4-6,2-4-6,2-4-6,2-4-6,2-4-6
2-4-8,2-4-8,2-4-8,2-4-8,2-4-8,2-4-8
2-4-10,2-4-10,2-4-10,2-4-10,2-4-10,2-4-10
2-4-12,2-4-12,2-4-12,2-4-12,2-4-12,2-4-12
2-4-14,2-4-14,2-4-14,2-4-14,2-4-14,2-4-14
2-4-16,2-4-16,2-4-16,2-4-16,2-4-16,2-4-16
2-4-18,2-4-18,2-4-18,2-4-18,2-4-18,2-4-18
2-4-20,2-4-20,2-4-20,2-4-20,2-4-20,2-4-20
2-4-22,2-4-22,2-4-22,2-4-22,2-4-22,2-4-22
2-4-24,2-4-24,2-4-24,2-4-24,2-4-24,2-4-24
2-5-6,2-5-6,2-5-6,2-5-6,2-5-6,2-5-6
2-5-8,2-5-8,2-5-8,2-5-8,2-5-8,2-5-8
2-5-10,2-5-10,2-5-10,2-5-10,2-5-10,2-5-10
2-5-12,2-5-12,2-5-12,2-5-12,2-5-12,2-5-12
2-5-14,2-5-14,2-5-14,2-5-14,2-5-14,2-5-14
2-5-16,2-5-16,2-5-16,2-5-16,2-5-16,2-5-16
2-5-18,2-5-18,2-5-18,2-5-18,2-5-18,2-5-18
2-5-20,2-5-20,2-5-20,2-5-20,2-5-20,2-5-20
2-5-22,2-5-22,2-5-22,2-5-22,2-5-22,2-5-22
2-5-24,2-5-24,2-5-24,2-5-24,2-5-24,2-5-24
2-6-6,2-6-6,2-6-6,2-6-6,2-6-6,2-6-6
2-6-8,2-6-8,2-6-8,2-6-8,2-6-8,2-6-8
2-6-10,2-6-10,2-6-10,2-6-10,2-6-10,2-6-10
2-6-12,2-6-12,2-6-12,2-6-12,2-6-12,2-6-12
2-6-14,2-6-14,2-6-14,2-6-14,2-6-14,2-6-14
2-6-16,2-6-16,2-6-16,2-6-16,2-6-16,2-6-16
2-6-18,2-6-18,2-6-18,2-6-18,2-6-18,2-6-18
2-6-20,2-6-20,2-6-20,2-6-20,2-6-20,2-6-20
