average,BTC/USD,ETH/USD,ETH/BTC,LTC/BTC,EOS/BTC,XRP/BTC,mean,Profit before fees,0,1,2,3,4,total_trades,Fees (%),% paid in fees,Profit after fees,Loss rate
"[13, 15, 200]",0.8674,1.8429,0.2823,0.7028,1.585,2.1504,1.2385,743.1%,534,621,305,96,333,1889,377.8%,50.8%,365.28%,39.4%
"[13, 15, 233]",0.944,1.7381,0.2418,0.6608,1.6107,1.951,1.1911,714.6%,530,611,300,94,326,1861,372.2%,52.1%,342.43%,39.8%
"[13, 15, 150]",0.7204,1.9951,0.2321,0.6229,1.3847,2.1563,1.1853,711.2%,536,645,309,92,330,1912,382.4%,53.8%,328.75%,39.0%
"[13, 15, 144]",0.7049,2.1035,0.2197,0.5503,1.3535,2.1383,1.1784,707.0%,541,646,310,93,332,1922,384.4%,54.4%,322.63%,39.2%
"[21, 25, 200]",0.6184,0.6238,0.3588,0.6117,1.2177,1.9598,0.8984,539.0%,297,375,192,69,190,1123,224.6%,41.7%,314.41%,36.0%
"[21, 25, 233]",0.565,0.5891,0.3998,0.7255,1.2016,1.8893,0.895,537.0%,296,375,192,70,189,1122,224.4%,41.8%,312.63%,35.8%
"[21, 30, 50]",0.7439,0.4755,0.3419,0.262,1.0167,1.3324,0.6954,417.3%,141,240,117,33,120,651,130.2%,31.2%,287.05%,27.6%
"[21, 30, 55]",0.7207,0.5118,0.3326,0.3162,1.0204,1.2793,0.6968,418.1%,154,245,123,37,124,683,136.6%,32.7%,281.50%,29.1%
"[10, 13, 200]",0.5193,1.3249,0.5793,0.5007,1.7718,1.9133,1.1015,660.9%,535,639,301,111,316,1902,380.4%,57.6%,280.52%,39.1%
"[21, 25, 55]",0.3907,0.3805,0.47,0.4802,1.3016,1.7998,0.8038,482.3%,281,348,180,64,178,1051,210.2%,43.6%,272.09%,36.5%
"[10, 13, 144]",0.3884,1.6956,0.5854,0.3745,1.6973,1.8354,1.0961,657.7%,541,649,313,110,319,1932,386.4%,58.8%,271.26%,38.9%
"[21, 25, 144]",0.4558,0.6242,0.3331,0.61,1.1348,1.8148,0.8288,497.3%,306,381,190,67,187,1131,226.2%,45.5%,271.06%,37.1%
"[21, 25, 150]",0.4506,0.6238,0.2948,0.5948,1.1861,1.8161,0.8277,496.6%,307,381,189,65,187,1129,225.8%,45.5%,270.82%,37.3%
"[21, 25, 60]",0.3647,0.4686,0.4124,0.482,1.2525,1.8352,0.8025,481.5%,287,351,180,64,182,1064,212.8%,44.2%,268.73%,36.9%
"[13, 15, 60]",0.7311,1.685,0.116,0.5275,1.5847,2.019,1.1105,666.3%,556,673,330,99,331,1989,397.8%,59.7%,268.53%,38.8%
"[10, 13, 233]",0.5856,1.2332,0.5496,0.4467,1.7432,1.8924,1.0751,645.1%,529,633,306,110,308,1886,377.2%,58.5%,267.86%,39.0%
"[10, 13, 150]",0.3625,1.6534,0.5935,0.4442,1.6464,1.8425,1.0904,654.3%,543,649,314,109,318,1933,386.6%,59.1%,267.65%,39.1%
"[21, 25, 100]",0.4331,0.6584,0.3279,0.5536,1.0802,1.8216,0.8125,487.5%,301,369,188,66,186,1110,222.0%,45.5%,265.48%,37.2%
"[13, 15, 55]",0.6942,1.7287,0.1335,0.5433,1.6414,1.858,1.0999,659.9%,550,667,334,100,327,1978,395.6%,59.9%,264.33%,38.5%
"[21, 30, 60]",0.722,0.4635,0.2704,0.3212,0.9624,1.2749,0.6691,401.4%,157,252,123,38,122,692,138.4%,34.5%,263.03%,29.3%
"[8, 13, 144]",0.8025,1.6146,0.574,0.4496,1.0108,1.3721,0.9706,582.4%,448,533,253,93,275,1602,320.4%,55.0%,261.96%,38.8%
"[13, 15, 100]",0.6097,1.786,0.2672,0.544,1.2794,2.0184,1.0841,650.5%,552,652,320,95,325,1944,388.8%,59.8%,261.67%,39.7%
"[8, 13, 200]",0.8878,1.317,0.6341,0.5341,1.0488,1.3787,0.9668,580.1%,448,538,243,95,273,1597,319.4%,55.1%,260.65%,39.0%
"[21, 25, 50]",0.3591,0.2076,0.4425,0.5423,1.3008,1.8219,0.779,467.4%,280,345,175,62,175,1037,207.4%,44.4%,260.00%,37.0%
"[21, 30, 200]",0.6256,0.5517,0.2172,0.4032,0.9764,1.4245,0.6998,419.9%,198,276,151,42,137,804,160.8%,38.3%,259.07%,32.7%
"[15, 21, 60]",0.3994,0.9647,0.435,0.4382,1.1904,1.1702,0.7663,459.8%,267,351,172,62,169,1021,204.2%,44.4%,255.61%,35.4%
