Date,Client Name,Channel Name,Symbol,Status,Trade Gained Profit %,Trade Gained Profit BTC
Total,X,X,X,X,X,X,-0.03432
2019-09-03 12:00:42.574548,BitMEX,World Class Traders Elite,BCH/U19,Cancelled,-0.0,0.00000000
2019-09-03 13:00:52.639998,BitMEX,World Class Traders Elite,ETH/USD,Cancelled,0.4891,0.00981200
2019-09-03 16:00:44.953749,BitMEX,World Class Traders Elite,LTC/U19,Cancelled,-2.0155,0.00000000
2019-09-03 21:00:42.463775,BitMEX,World Class Traders Elite,BCH/U19,Cancelled,-0.0,0.00000000
2019-09-04 03:00:38.855850,BitMEX,World Class Traders Elite,XRP/U19,Cancelled,-0.0,0.00000000
2019-09-04 03:00:44.234569,BitMEX,World Class Traders Elite,LTC/U19,Cancelled,-0.0,0.00000000
2019-09-04 04:00:39.357928,BitMEX,World Class Traders Elite,XRP/U19,Cancelled,-0.0,0.00000000
2019-09-04 04:00:44.189347,BitMEX,World Class Traders Elite,BTC/USD,Stopped out,-1.3502,-0.00912100
2019-09-04 04:00:51.725036,BitMEX,World Class Traders Elite,ETH/USD,Stopped out,-1.0286,-0.00568900
2019-09-04 05:00:42.396187,BitMEX,World Class Traders Elite,BTC/USD,Stopped out,-1.0896,-0.00662900
2019-09-05 09:00:49.315788,BitMEX,World Class Traders Elite,BTC/USD,Stopped out,-1.174,-0.01727500
2019-09-05 11:00:42.368877,BitMEX,World Class Traders Elite,BTC/USD,Stopped out,-1.189,-0.01732700
2019-09-05 23:01:52.809569,BitMEX,World Class Traders Elite,BTC/USD,All Targets achieved,2.5431,0.03642400
2019-09-06 20:00:55.943580,BitMEX,World Class Traders Elite,EOS/U19,Cancelled,-0.3318,0.00000000
2019-09-06 20:00:58.909215,BitMEX,World Class Traders Elite,ETH/U19,Cancelled,-0.1849,0.00000000
2019-09-06 20:01:06.242598,BitMEX,World Class Traders Elite,BCH/U19,Stopped out,-1.4469,0.00000000
2019-09-06 20:01:08.142073,BitMEX,World Class Traders Elite,LTC/U19,Cancelled,-0.08,0.00000000
2019-09-07 01:00:25.565027,BitMEX,World Class Traders Elite,ETH/U19,Stopped out,-1.4736,0.00000000
2019-09-08 05:00:29.124256,BitMEX,World Class Traders Elite,XRP/U19,Cancelled,0.0,0.00000000
2019-09-08 15:00:29.798442,BitMEX,World Class Traders Elite,ETH/USD,Stopped out,-2.7137,-0.02894900
2019-09-09 00:00:26.111275,BitMEX,World Class Traders Elite,ETH/USD,Stopped out,-1.3774,-0.02234800
2019-09-09 03:00:26.743360,BitMEX,World Class Traders Elite,ETH/USD,Stopped out,0.5028,0.00806200
2019-09-09 08:00:26.369703,BitMEX,World Class Traders Elite,XRP/U19,Cancelled,0.1617,0.00000000
2019-09-09 08:00:28.262079,BitMEX,World Class Traders Elite,ETH/U19,Cancelled,0.4825,0.00000000
2019-09-09 09:00:25.994954,BitMEX,World Class Traders Elite,LTC/U19,Cancelled,-0.8493,0.00000000
2019-09-09 10:00:26.834370,BitMEX,World Class Traders Elite,ETH/USD,Cancelled,0.2935,0.00339000
2019-09-09 14:00:26.579805,BitMEX,World Class Traders Elite,XRP/U19,Stopped out,-0.8327,0.00000000
2019-09-09 17:00:26.019974,BitMEX,World Class Traders Elite,BTC/USD,Cancelled,0.2859,0.00433700
2019-09-09 18:00:26.689084,BitMEX,World Class Traders Elite,LTC/U19,Cancelled,0.4624,0.00000000
2019-09-09 23:00:24.449931,BitMEX,World Class Traders Elite,LTC/U19,All Targets achieved,3.3142,0.00000000
2019-09-09 23:00:27.328027,BitMEX,World Class Traders Elite,ETH/USD,Cancelled,0.1287,0.00105600
2019-09-10 04:00:24.738178,BitMEX,World Class Traders Elite,BTC/USD,All Targets achieved,1.9071,0.02125500
2019-09-10 04:00:26.568655,BitMEX,World Class Traders Elite,XRP/U19,Cancelled,0.0947,0.00000000
2019-09-10 17:00:26.790851,BitMEX,World Class Traders Elite,LTC/U19,Stopped out,-2.3797,0.00000000
2019-09-10 21:02:18.079493,BitMEX,World Class Traders Elite,XRP/U19,Stopped out,-0.3547,0.00000000
2019-09-10 21:02:31.007049,BitMEX,World Class Traders Elite,BCH/U19,Stopped out,-1.8694,0.00000000
2019-09-10 21:03:36.391054,BitMEX,World Class Traders Elite,EOS/U19,Stopped out,-3.3664,0.00000000
2019-09-11 22:30:44.088456,BitMEX,,EOS/U19,Cancelled,0.0,0.00000000
2019-09-14 00:11:56.182628,BitMEX,World Class Traders Elite,EOS/U19,Cancelled,-0.0,0.00000000
2019-09-14 00:14:31.929946,BitMEX,World Class Traders Elite,BTC/USD,Stopped out,-2.5432,-0.02566500
2019-09-14 10:00:33.090291,BitMEX,World Class Traders Elite,LTC/U19,Stopped out,-1.2866,0.00000000
2019-09-14 12:00:24.236042,BitMEX,World Class Traders Elite,XRP/U19,All Targets achieved,2.8981,0.00000000
2019-09-15 16:12:34.694125,BitMEX,World Class Traders Elite,ETH/USD,Cancelled,2.1446,0.01854300
2019-09-15 22:00:24.756200,BitMEX,World Class Traders Elite,EOS/U19,Cancelled,0.7087,0.00000000
2019-09-16 01:00:24.959341,BitMEX,World Class Traders Elite,BCH/U19,Cancelled,0.4632,0.00000000
2019-09-16 01:00:26.812155,BitMEX,World Class Traders Elite,LTC/U19,Cancelled,3.3362,0.00000000
2019-09-16 03:00:24.414475,BitMEX,World Class Traders Elite,XRP/U19,Cancelled,0.2323,0.00000000
2019-09-16 17:19:56.707236,BitMEX,World Class Traders Elite,EOS/U19,Cancelled,0.9776,0.00000000
2019-09-18 00:07:27.542956,BitMEX,World Class Traders Elite,BTC/USD,Cancelled,0.067,0.00076700
2019-09-18 11:00:26.884597,BitMEX,World Class Traders Elite,BTC/USD,Cancelled,-0.0,0.00000000
2019-09-18 14:00:25.986044,BitMEX,World Class Traders Elite,EOS/U19,Stopped out,-2.8259,0.00000000
2019-09-18 23:00:25.902654,BitMEX,World Class Traders Elite,EOS/U19,Stopped out,-1.1905,0.00000000
2019-09-19 06:00:24.746891,BitMEX,World Class Traders Elite,ETH/U19,Cancelled,1.9929,0.00000000
2019-09-19 14:00:24.329906,BitMEX,World Class Traders Elite,ETH/USD,Cancelled,3.5881,0.02754400
2019-09-20 04:00:25.771515,BitMEX,World Class Traders Elite,ETH/U19,Cancelled,-1.1184,0.00000000
2019-09-20 05:00:24.395479,BitMEX,World Class Traders Elite,ETH/U19,Cancelled,-0.7484,0.00000000
2019-09-21 00:00:26.401227,BitMEX,World Class Traders Elite,ETH/USD,Cancelled,0.5498,0.00669500
2019-09-21 04:00:25.649272,BitMEX,World Class Traders Elite,LTC/U19,Stopped out,-0.9341,0.00000000
2019-09-21 12:00:24.974651,BitMEX,World Class Traders Elite,LTC/U19,Cancelled,-0.0044,0.00000000
2019-09-21 16:00:24.736567,BitMEX,World Class Traders Elite,ETH/USD,Stopped out,-1.4881,-0.03677200
2019-09-21 20:00:25.048728,BitMEX,World Class Traders Elite,ETH/USD,Stopped out,-1.8933,-0.04500800
2019-09-23 01:00:24.985544,BitMEX,World Class Traders Elite,ETH/USD,Cancelled,-0.0,0.00000000
2019-09-23 02:00:25.658943,BitMEX,World Class Traders Elite,BCH/U19,Stopped out,-0.9733,0.00000000
2019-09-23 14:00:25.930585,BitMEX,World Class Traders Elite,ETH/USD,Cancelled,-0.0,0.00000000
2019-09-23 17:00:27.054584,BitMEX,World Class Traders Elite,ETH/USD,All Targets achieved,3.5697,0.03744300
2019-09-23 20:00:28.340942,BitMEX,World Class Traders Elite,ETH/U19,All Targets achieved,3.804,0.00000000
2019-09-24 00:00:24.529967,BitMEX,World Class Traders Elite,EOS/U19,Cancelled,-0.0,0.00000000
2019-09-25 08:00:25.314980,BitMEX,World Class Traders Elite,ETH/U19,Stopped out,-1.603,0.00000000
2019-09-25 15:00:24.106160,BitMEX,World Class Traders Elite,BCH/U19,Stopped out,-2.6334,0.00000000
2019-09-26 02:00:14.234573,BitMEX,World Class Traders Elite,BTC/USD,Cancelled,-0.003,-0.00003500
2019-09-26 03:00:12.865693,BitMEX,World Class Traders Elite,EOS/U19,Cancelled,-2.2508,0.00000000
2019-09-26 07:00:12.508203,BitMEX,World Class Traders Elite,EOS/U19,Stopped out,-0.9839,0.00000000
2019-09-26 12:00:14.165191,BitMEX,World Class Traders Elite,ETH/USD,Cancelled,0.4426,0.00491100
2019-09-26 12:00:19.614589,BitMEX,World Class Traders Elite,BTC/USD,All Targets achieved,2.4401,0.01976200
2019-09-26 18:00:14.577187,BitMEX,World Class Traders Elite,EOS/U19,Stopped out,-1.256,0.00000000
2019-09-26 20:00:16.049876,BitMEX,World Class Traders Elite,ADA/U19,Cancelled,0.1728,0.00000000
2019-09-27 12:01:33.774133,BitMEX,World Class Traders Elite,BTC/USD,Cancelled,0.1341,0.00138800
2019-09-27 14:00:14.172483,BitMEX,World Class Traders Elite,ETH/USD,Cancelled,0.209,0.00230800
2019-09-27 20:00:17.298055,BitMEX,World Class Traders Elite,BTC/USD,Stopped out,-1.3249,-0.01379300
2019-09-30 02:00:16.109421,BitMEX,World Class Traders Elite,ADA/Z19,Stopped out,-1.5152,0.00000000
2019-09-30 03:00:16.178775,BitMEX,World Class Traders Elite,ETH/USD,Cancelled,0.1695,0.00179900
2019-10-01 00:00:14.503897,BitMEX,World Class Traders Elite,EOS/Z19,All Targets achieved,2.7794,0.00000000
2019-10-01 02:00:13.788290,BitMEX,World Class Traders Elite,LTC/Z19,Stopped out,-1.677,0.00000000
2019-10-01 02:00:15.926518,BitMEX,World Class Traders Elite,ADA/Z19,Stopped out,-1.8789,0.00000000
2019-10-01 12:00:12.897823,BitMEX,World Class Traders Elite,ETH/USD,Cancelled,-0.0073,-0.00004100
2019-10-02 16:00:12.965591,BitMEX,World Class Traders Elite,ETH/USD,Stopped out,-1.7758,-0.02015600
2019-10-02 16:00:16.350271,BitMEX,World Class Traders Elite,BCH/Z19,Cancelled,0.0112,0.00000000
2019-10-02 18:00:18.765928,BitMEX,World Class Traders Elite,BCH/Z19,Cancelled,-0.0037,0.00000000
2019-10-02 21:00:16.272998,BitMEX,World Class Traders Elite,BTC/USD,Stopped out,-1.1582,-0.00649000
2019-10-03 18:00:21.532467,BitMEX,World Class Traders Elite,BCH/Z19,Cancelled,-0.2226,0.00000000
2019-10-03 19:00:19.245043,BitMEX,World Class Traders Elite,BCH/Z19,Cancelled,-0.2635,0.00000000
2019-10-05 02:00:15.733752,BitMEX,World Class Traders Elite,BTC/USD,Cancelled,0.1575,0.00146600
2019-10-05 04:00:14.624055,BitMEX,World Class Traders Elite,ETH/USD,Cancelled,0.0,0.00000000
2019-10-05 15:00:15.762136,BitMEX,World Class Traders Elite,BCH/Z19,Cancelled,-0.1521,0.00000000
2019-10-05 15:00:19.896075,BitMEX,World Class Traders Elite,LTC/Z19,Cancelled,0.0242,0.00000000
2019-10-05 16:00:16.145957,BitMEX,World Class Traders Elite,ETH/Z19,Cancelled,-0.0364,0.00000000
2019-10-05 16:00:21.458528,BitMEX,World Class Traders Elite,EOS/Z19,Stopped out,-2.8227,0.00000000
2019-10-06 03:00:13.401941,BitMEX,World Class Traders Elite,EOS/Z19,Cancelled,0.1933,0.00000000
2019-10-06 03:00:16.780924,BitMEX,World Class Traders Elite,XRP/Z19,All Targets achieved,6.3839,0.00000000
2019-10-06 03:00:20.619424,BitMEX,World Class Traders Elite,BTC/USD,Cancelled,0.2541,0.00091900
2019-10-06 07:00:14.920063,BitMEX,World Class Traders Elite,ETH/USD,Cancelled,0.0227,0.00007200
2019-10-06 10:00:13.712402,BitMEX,World Class Traders Elite,LTC/Z19,Stopped out,-2.8531,0.00000000
2019-10-07 01:08:18.565481,BitMEX,World Class Traders Elite,EOS/Z19,Cancelled,0.2303,0.00000000
2019-10-07 05:00:13.810302,BitMEX,World Class Traders Elite,ETH/Z19,Cancelled,0.1477,0.00000000
2019-10-07 05:00:20.368229,BitMEX,World Class Traders Elite,ADA/Z19,Cancelled,0.3,0.00000000
2019-10-08 02:00:14.236731,BitMEX,World Class Traders Elite,BCH/Z19,All Targets achieved,-8.6159,0.00000000
2019-10-08 12:00:13.808418,BitMEX,World Class Traders Elite,BCH/Z19,Stopped out,-1.0892,0.00000000
2019-10-08 18:00:14.731133,BitMEX,World Class Traders Elite,ADA/Z19,Cancelled,0.4697,0.00000000
2019-10-08 23:00:13.507542,BitMEX,World Class Traders Elite,XRP/Z19,Cancelled,0.0616,0.00000000
2019-10-09 01:11:32.742478,BitMEX,World Class Traders Elite,ETH/USD,All Targets achieved,5.8274,0.02352300
2019-10-09 01:12:49.031269,BitMEX,World Class Traders Elite,EOS/Z19,Cancelled,0.0611,0.00000000
2019-10-09 03:00:14.067072,BitMEX,World Class Traders Elite,LTC/Z19,Cancelled,0.2388,0.00000000
2019-10-09 08:00:16.824682,BitMEX,World Class Traders Elite,EOS/Z19,Cancelled,-0.1375,0.00000000
2019-10-09 09:00:17.212460,BitMEX,World Class Traders Elite,BTC/USD,Cancelled,0.039,0.00009100
2019-10-10 15:00:17.901956,BitMEX,World Class Traders Elite,ETH/Z19,Stopped out,-2.5584,0.00000000
2019-10-10 16:00:15.117730,BitMEX,World Class Traders Elite,ETH/Z19,Stopped out,-2.2999,0.00000000
2019-10-10 20:00:16.782937,BitMEX,World Class Traders Elite,BTC/USD,Cancelled,0.1964,0.00089300
2019-10-10 20:00:21.497083,BitMEX,World Class Traders Elite,ETH/USD,Cancelled,0.3375,0.00137700
2019-10-10 22:00:16.771410,BitMEX,World Class Traders Elite,ETH/Z19,Cancelled,-0.1541,0.00000000
2019-10-10 22:00:22.757951,BitMEX,World Class Traders Elite,EOS/Z19,Cancelled,-0.1617,0.00000000
2019-10-11 04:00:13.551824,BitMEX,World Class Traders Elite,ETH/USD,Cancelled,0.2635,0.00078900
2019-10-11 05:00:18.213271,BitMEX,World Class Traders Elite,ADA/Z19,Stopped out,-1.6461,0.00000000
2019-10-11 07:00:15.026248,BitMEX,World Class Traders Elite,ADA/Z19,Stopped out,-1.4344,0.00000000
2019-10-11 18:00:16.567374,BitMEX,World Class Traders Elite,ADA/Z19,Stopped out,-2.459,0.00000000
2019-10-12 11:00:14.188766,BitMEX,World Class Traders Elite,ADA/Z19,Stopped out,-1.6461,0.00000000
2019-10-12 13:00:20.626869,BitMEX,World Class Traders Elite,EOS/Z19,Cancelled,0.0,0.00000000
2019-10-12 18:00:13.650761,BitMEX,World Class Traders Elite,ETH/USD,All Targets achieved,2.3997,0.01134500
2019-10-12 23:00:14.171867,BitMEX,World Class Traders Elite,XRP/Z19,All Targets achieved,3.3686,0.00000000
2019-10-13 00:00:19.018707,BitMEX,World Class Traders Elite,XRP/Z19,All Targets achieved,2.9402,0.00000000
2019-10-13 21:00:14.075233,BitMEX,World Class Traders Elite,XRP/Z19,All Targets achieved,4.4203,0.00000000
2019-10-13 21:00:17.820204,BitMEX,World Class Traders Elite,ETH/USD,Stopped out,-2.8231,-0.01263600
2019-10-13 22:00:13.700640,BitMEX,World Class Traders Elite,EOS/Z19,All Targets achieved,2.4981,0.00000000
2019-10-16 15:36:22.528255,BitMEX,World Class Traders Elite,XRP/Z19,All Targets achieved,4.9303,0.00000000
2019-10-17 08:00:14.410395,BitMEX,World Class Traders Elite,XRP/Z19,All Targets achieved,2.7868,0.00000000
2019-10-18 23:00:51.481359,BitMEX,World Class Traders Elite,XRP/Z19,Cancelled,0.0,0.00000000
