date,open,high,low,close,volume
2019-06-14 03:00:00,256.5,258.1,256.1,256.65,10639315.0
2019-06-14 04:00:00,256.65,257.05,255.55,256.95,4322711.0
2019-06-14 05:00:00,256.95,257.0,255.9,256.65,2978443.0
2019-06-14 06:00:00,256.65,256.65,254.75,254.8,3161351.0
2019-06-14 07:00:00,254.8,257.05,254.15,256.9,7558119.0
2019-06-14 08:00:00,256.9,259.1,256.2,257.8,11900229.0
2019-06-14 09:00:00,257.8,258.75,256.5,257.5,7605211.0
2019-06-14 10:00:00,257.5,258.45,256.55,257.0,5893970.0
2019-06-14 11:00:00,257.0,258.55,255.45,255.45,6933313.0
2019-06-14 12:00:00,255.45,256.35,255.45,255.75,3923388.0
2019-06-14 13:00:00,255.75,257.0,255.8,256.35,2511801.0
2019-06-14 14:00:00,256.35,257.1,255.3,255.9,5330347.0
2019-06-14 15:00:00,255.9,258.6,255.9,258.1,5355130.0
2019-06-14 16:00:00,258.1,265.9,258.1,263.35,21288983.0
2019-06-14 17:00:00,263.35,265.95,262.35,264.65,10078664.0
2019-06-14 18:00:00,264.65,267.4,263.85,264.1,8797460.0
2019-06-14 19:00:00,264.1,265.1,262.35,264.6,5959111.0
2019-06-14 20:00:00,264.6,267.85,263.95,266.25,7032086.0
2019-06-14 21:00:00,266.25,267.8,265.5,266.35,4826433.0
2019-06-14 22:00:00,266.35,266.7,265.1,265.1,2796461.0
2019-06-14 23:00:00,265.1,266.2,265.0,265.8,2263684.0
2019-06-15 00:00:00,265.8,267.0,265.8,266.7,3410050.0
2019-06-15 01:00:00,266.7,267.55,264.15,264.9,4909409.0
2019-06-15 02:00:00,264.9,265.45,263.05,265.25,6010782.0
2019-06-15 03:00:00,265.25,265.45,264.65,264.75,1879783.0
2019-06-15 04:00:00,264.75,264.8,263.2,263.4,4517754.0
2019-06-15 05:00:00,263.4,264.65,262.5,264.0,4997603.0
2019-06-15 06:00:00,264.0,264.5,263.5,264.0,2308518.0
2019-06-15 07:00:00,264.0,264.05,262.5,262.5,4334395.0
2019-06-15 08:00:00,262.5,264.2,262.1,264.15,3640417.0
2019-06-15 09:00:00,264.15,266.15,264.0,265.65,3963556.0
2019-06-15 10:00:00,265.65,267.25,264.85,266.1,6727757.0
2019-06-15 11:00:00,266.1,274.5,265.65,272.1,20867247.0
2019-06-15 12:00:00,272.1,272.9,269.75,270.2,8434063.0
2019-06-15 13:00:00,270.2,271.0,269.05,270.05,7110580.0
2019-06-15 14:00:00,270.05,270.65,269.45,270.0,3207315.0
2019-06-15 15:00:00,270.0,270.0,267.85,269.35,5144267.0
2019-06-15 16:00:00,269.35,270.5,268.55,270.5,2362365.0
2019-06-15 17:00:00,270.5,271.4,268.45,268.95,2908836.0
2019-06-15 18:00:00,268.95,270.15,268.25,269.4,2802473.0
2019-06-15 19:00:00,269.4,269.35,267.15,267.9,3119500.0
2019-06-15 20:00:00,267.9,272.2,267.15,271.15,8297221.0
2019-06-15 21:00:00,271.15,273.7,270.75,271.5,8806558.0
2019-06-15 22:00:00,271.5,272.6,270.65,271.75,4905973.0
2019-06-15 23:00:00,271.75,274.1,271.75,274.1,5278619.0
2019-06-16 00:00:00,274.1,278.5,273.85,277.95,15167600.0
2019-06-16 01:00:00,277.95,279.0,275.55,278.15,9838535.0
2019-06-16 02:00:00,278.15,278.6,276.5,278.3,5176839.0
2019-06-16 03:00:00,278.3,279.9,256.55,270.1,29464085.0
2019-06-16 04:00:00,270.1,271.95,266.5,270.25,10312002.0
2019-06-16 05:00:00,270.25,270.8,268.85,269.7,3758201.0
2019-06-16 06:00:00,269.7,271.25,269.0,271.1,4490740.0
2019-06-16 07:00:00,271.1,271.95,269.9,270.55,4566365.0
2019-06-16 08:00:00,270.55,274.15,269.85,273.7,8475225.0
2019-06-16 09:00:00,273.7,274.55,272.4,272.85,7121429.0
2019-06-16 10:00:00,272.85,273.5,270.0,272.75,6730202.0
2019-06-16 11:00:00,272.75,273.65,270.7,272.95,4932450.0
2019-06-16 12:00:00,272.95,273.55,267.25,269.15,9848715.0
2019-06-16 13:00:00,269.15,270.0,267.75,268.4,5443765.0
2019-06-16 14:00:00,268.4,268.65,263.1,265.2,15563658.0
2019-06-16 15:00:00,265.2,267.55,264.0,266.9,10313194.0
2019-06-16 16:00:00,266.9,269.0,266.1,269.0,3599355.0
2019-06-16 17:00:00,269.0,271.95,268.3,271.4,5786949.0
2019-06-16 18:00:00,271.4,271.95,268.65,268.7,5497365.0
2019-06-16 19:00:00,268.7,274.35,268.65,273.55,9766773.0
2019-06-16 20:00:00,273.55,274.35,272.0,272.05,4329210.0
2019-06-16 21:00:00,272.05,272.8,269.15,269.2,6058530.0
2019-06-16 22:00:00,269.2,270.6,269.1,270.45,1823649.0
2019-06-16 23:00:00,270.45,270.95,268.7,268.8,5132854.0
2019-06-17 00:00:00,268.8,268.95,267.7,268.35,6081344.0
2019-06-17 01:00:00,268.35,270.15,267.85,269.8,3501547.0
2019-06-17 02:00:00,269.8,270.8,269.1,269.6,2388958.0
2019-06-17 03:00:00,269.6,272.45,269.6,272.15,6252516.0
2019-06-17 04:00:00,272.15,272.85,271.15,271.7,3272970.0
2019-06-17 05:00:00,271.7,274.25,270.4,273.25,6413457.0
2019-06-17 06:00:00,273.25,274.7,271.5,272.5,8142131.0
2019-06-17 07:00:00,272.5,275.7,271.5,272.8,12108280.0
2019-06-17 08:00:00,272.8,274.1,271.45,272.9,5819383.0
2019-06-17 09:00:00,272.9,276.8,272.55,275.55,7336161.0
2019-06-17 10:00:00,275.55,275.65,267.9,270.0,13836031.0
2019-06-17 11:00:00,270.0,272.2,270.0,272.0,4045244.0
2019-06-17 12:00:00,272.0,273.0,271.75,272.5,3183588.0
2019-06-17 13:00:00,272.5,273.7,272.2,272.85,3326320.0
2019-06-17 14:00:00,272.85,274.0,271.5,273.1,4098393.0
2019-06-17 15:00:00,273.1,274.0,271.6,272.95,4224050.0
2019-06-17 16:00:00,272.95,273.6,271.8,273.2,2634923.0
2019-06-17 17:00:00,273.2,274.95,272.75,274.35,4857461.0
2019-06-17 18:00:00,274.35,276.5,272.1,274.15,10611628.0
2019-06-17 19:00:00,274.15,274.55,271.65,272.5,5530608.0
2019-06-17 20:00:00,272.5,272.5,270.2,271.4,5729844.0
2019-06-17 21:00:00,271.4,271.45,269.25,269.85,6019708.0
2019-06-17 22:00:00,269.85,270.75,269.15,270.6,3932795.0
2019-06-17 23:00:00,270.6,271.85,270.35,270.6,5342438.0
2019-06-18 00:00:00,270.6,270.6,266.1,268.6,10763759.0
2019-06-18 01:00:00,268.6,269.8,267.55,269.05,5317253.0
2019-06-18 02:00:00,269.05,269.05,265.55,268.1,9714089.0
2019-06-18 03:00:00,268.1,270.4,267.3,270.35,4978475.0
2019-06-18 04:00:00,270.35,270.6,269.2,269.8,3954541.0
2019-06-18 05:00:00,269.8,270.3,268.75,268.9,2616419.0
2019-06-18 06:00:00,268.9,269.15,266.6,267.3,5524271.0
2019-06-18 07:00:00,267.3,268.3,265.3,267.8,9694579.0
2019-06-18 08:00:00,267.8,269.0,267.1,268.5,4665467.0
