average,BTC/USD,ETH/USD,ETH/BTC,LTC/BTC,EOS/BTC,XRP/BTC,mean,total,0,1,2,3,4,total_trades
"[13, 15, 200]",0.8674,1.8429,0.2823,0.7028,1.5850,2.1504,1.2385,7.4308,534,621,305,96,333,1889
"[13, 15, 233]",0.9440,1.7381,0.2418,0.6608,1.6107,1.9510,1.1911,7.1463,530,611,300,94,326,1861
"[13, 15, 150]",0.7204,1.9951,0.2321,0.6229,1.3847,2.1563,1.1853,7.1115,536,645,309,92,330,1912
"[13, 15, 144]",0.7049,2.1035,0.2197,0.5503,1.3535,2.1383,1.1784,7.0703,541,646,310,93,332,1922
"[13, 15, 60]",0.7311,1.6850,0.1160,0.5275,1.5847,2.0190,1.1105,6.6633,556,673,330,99,331,1989
"[10, 13, 200]",0.5193,1.3249,0.5793,0.5007,1.7718,1.9133,1.1015,6.6092,535,639,301,111,316,1902
"[13, 15, 55]",0.6942,1.7287,0.1335,0.5433,1.6414,1.8580,1.0999,6.5993,550,667,334,100,327,1978
"[10, 13, 144]",0.3884,1.6956,0.5854,0.3745,1.6973,1.8354,1.0961,6.5766,541,649,313,110,319,1932
"[10, 13, 150]",0.3625,1.6534,0.5935,0.4442,1.6464,1.8425,1.0904,6.5425,543,649,314,109,318,1933
"[13, 15, 100]",0.6097,1.7860,0.2672,0.5440,1.2794,2.0184,1.0841,6.5047,552,652,320,95,325,1944
"[13, 15, 75]",0.5894,1.7345,0.1756,0.6171,1.3764,1.9770,1.0783,6.4699,554,663,329,101,325,1972
"[13, 15, 89]",0.6008,1.8261,0.2012,0.5913,1.2630,1.9691,1.0752,6.4514,556,657,324,100,326,1963
"[10, 13, 233]",0.5856,1.2332,0.5496,0.4467,1.7432,1.8924,1.0751,6.4506,529,633,306,110,308,1886
"[13, 15, 50]",0.6981,1.6761,0.1223,0.4765,1.6173,1.8016,1.0653,6.3918,547,656,337,103,321,1964
"[10, 13, 75]",0.3676,1.2154,0.5381,0.3875,2.0870,1.7848,1.0634,6.3805,550,664,319,119,319,1971
"[10, 13, 60]",0.3185,1.2749,0.5538,0.3641,2.1151,1.6981,1.0541,6.3247,546,673,322,117,315,1973
"[10, 13, 55]",0.2933,1.1898,0.5649,0.3430,2.1832,1.6305,1.0341,6.2046,545,667,326,117,312,1967
"[10, 13, 100]",0.4251,1.4452,0.5202,0.3338,1.6581,1.7741,1.0261,6.1565,550,659,315,114,317,1955
"[10, 13, 89]",0.4649,1.4259,0.4676,0.3226,1.7640,1.7039,1.0248,6.1489,554,655,318,116,318,1961
"[10, 13, 50]",0.2405,1.1353,0.5420,0.2724,2.1085,1.5834,0.9803,5.8820,550,662,334,119,306,1971
"[13, 15, 34]",0.5400,1.6851,0.0750,0.5438,1.5326,1.5010,0.9796,5.8774,515,594,319,100,299,1827
"[13, 15, 40]",0.6881,1.5491,0.0546,0.5191,1.3981,1.6355,0.9741,5.8444,537,628,331,104,307,1907
"[8, 13, 144]",0.8025,1.6146,0.5740,0.4496,1.0108,1.3721,0.9706,5.8236,448,533,253,93,275,1602
"[8, 13, 200]",0.8878,1.3170,0.6341,0.5341,1.0488,1.3787,0.9668,5.8005,448,538,243,95,273,1597
"[8, 13, 150]",0.7971,1.5836,0.5510,0.4984,0.9231,1.3883,0.9569,5.7416,450,535,250,94,274,1603
"[10, 13, 34]",0.2074,1.0736,0.4646,0.4235,2.3457,1.1906,0.9509,5.7053,505,609,320,117,286,1837
"[10, 13, 40]",0.2661,1.1341,0.4849,0.2932,2.1521,1.3610,0.9485,5.6913,532,633,332,114,296,1907
"[8, 13, 233]",0.9431,1.1557,0.6046,0.4854,1.0757,1.3193,0.9306,5.5837,449,536,249,95,266,1595
"[10, 15, 200]",0.6993,0.9365,0.2613,0.1343,1.4835,1.9640,0.9132,5.4789,400,500,262,83,246,1491
"[21, 25, 200]",0.6184,0.6238,0.3588,0.6117,1.2177,1.9598,0.8984,5.3901,297,375,192,69,190,1123
"[8, 13, 89]",0.8267,1.4802,0.4464,0.3916,1.0235,1.2214,0.8983,5.3898,451,529,252,93,268,1593
"[21, 25, 233]",0.5650,0.5891,0.3998,0.7255,1.2016,1.8893,0.8950,5.3703,296,375,192,70,189,1122
"[10, 15, 233]",0.7989,0.8152,0.2661,0.1161,1.5466,1.8006,0.8906,5.3434,399,500,266,82,242,1489
"[8, 13, 100]",0.8191,1.4432,0.4794,0.4017,0.8929,1.3055,0.8903,5.3419,450,536,249,93,268,1596
"[5, 13, 200]",1.0200,1.2491,0.2385,0.3610,1.0293,1.4355,0.8889,5.3334,435,516,246,88,261,1546
"[10, 15, 144]",0.5579,1.2725,0.2390,0.0951,1.2521,1.9095,0.8877,5.3261,402,511,266,79,247,1505
"[5, 13, 144]",0.8904,1.5324,0.2307,0.2838,0.9763,1.4120,0.8876,5.3255,435,518,254,86,262,1555
"[5, 13, 150]",0.8837,1.5013,0.2072,0.3530,0.9389,1.4281,0.8854,5.3122,436,518,252,87,262,1555
"[10, 15, 150]",0.5574,1.1231,0.2389,0.1529,1.2783,1.9072,0.8763,5.2578,401,507,266,78,245,1497
"[8, 13, 75]",0.8159,1.2643,0.3540,0.4138,1.1240,1.2783,0.8751,5.2503,448,531,252,93,263,1587
"[8, 13, 60]",0.7640,1.2804,0.3736,0.3330,1.2179,1.1875,0.8594,5.1563,442,529,248,93,257,1569
"[5, 13, 75]",0.9385,1.2185,0.1608,0.3256,1.1506,1.3428,0.8561,5.1367,424,520,253,85,255,1537
"[5, 13, 233]",1.0632,1.0552,0.2013,0.3782,1.0388,1.3813,0.8530,5.1179,434,518,250,87,255,1544
"[5, 13, 89]",0.9310,1.3868,0.1244,0.3108,1.0592,1.2808,0.8488,5.0930,432,518,254,85,256,1545
"[5, 13, 100]",0.9097,1.4028,0.1692,0.3238,0.9085,1.3785,0.8487,5.0925,433,522,252,84,258,1549
"[8, 13, 55]",0.7307,1.2404,0.3877,0.2792,1.3140,1.0859,0.8397,5.0380,438,523,251,92,253,1557
"[21, 25, 144]",0.4558,0.6242,0.3331,0.6100,1.1348,1.8148,0.8288,4.9726,306,381,190,67,187,1131
"[21, 25, 150]",0.4506,0.6238,0.2948,0.5948,1.1861,1.8161,0.8277,4.9662,307,381,189,65,187,1129
"[5, 13, 60]",0.9442,1.1337,0.1935,0.2352,1.1487,1.2352,0.8151,4.8905,418,514,249,82,246,1509
"[21, 25, 100]",0.4331,0.6584,0.3279,0.5536,1.0802,1.8216,0.8125,4.8748,301,369,188,66,186,1110
"[21, 25, 55]",0.3907,0.3805,0.4700,0.4802,1.3016,1.7998,0.8038,4.8229,281,348,180,64,178,1051
"[21, 25, 60]",0.3647,0.4686,0.4124,0.4820,1.2525,1.8352,0.8025,4.8153,287,351,180,64,182,1064
"[10, 15, 75]",0.5866,0.9396,0.1374,0.1504,1.2501,1.7153,0.7966,4.7794,388,507,266,81,231,1473
"[5, 15, 75]",0.5411,1.1575,0.5074,0.1272,0.9393,1.4482,0.7868,4.7205,391,441,210,69,228,1339
"[5, 15, 200]",0.6026,0.8998,0.4497,0.1680,1.0878,1.5102,0.7864,4.7181,423,437,222,78,232,1392
"[5, 13, 55]",0.8546,1.1361,0.2034,0.1959,1.1696,1.1555,0.7859,4.7152,414,511,251,83,242,1501
"[21, 25, 75]",0.4667,0.4051,0.3846,0.5000,1.1774,1.7760,0.7850,4.7098,297,358,186,64,186,1091
"[21, 25, 89]",0.4737,0.4682,0.3009,0.5433,1.1487,1.7667,0.7836,4.7016,300,364,185,64,185,1098
"[10, 15, 60]",0.6407,0.9558,0.1466,0.0763,1.2025,1.6675,0.7815,4.6893,380,506,270,81,227,1464
"[21, 25, 50]",0.3591,0.2076,0.4425,0.5423,1.3008,1.8219,0.7790,4.6740,280,345,175,62,175,1037
"[5, 15, 144]",0.4673,1.3663,0.4634,0.1032,0.8824,1.3807,0.7772,4.6633,425,446,226,73,234,1404
"[8, 13, 50]",0.6974,1.1591,0.3413,0.2078,1.2006,1.0525,0.7765,4.6588,440,519,254,93,245,1551
"[10, 15, 55]",0.6851,0.9318,0.1506,0.0404,1.3166,1.5334,0.7763,4.6579,375,501,276,83,224,1459
"[5, 15, 150]",0.4491,1.2640,0.4640,0.1705,0.9083,1.3931,0.7748,4.6490,424,443,226,74,233,1400
"[10, 15, 100]",0.4996,0.9420,0.2568,0.0489,1.2238,1.6731,0.7740,4.6442,402,506,265,78,235,1486
"[5, 15, 60]",0.6087,1.0608,0.5131,0.0046,1.0533,1.3950,0.7726,4.6355,381,438,211,70,222,1322
"[10, 15, 89]",0.5390,0.9933,0.1789,0.0689,1.2246,1.6253,0.7717,4.6301,399,510,266,77,234,1486
"[15, 21, 60]",0.3994,0.9647,0.4350,0.4382,1.1904,1.1702,0.7663,4.5981,267,351,172,62,169,1021
"[8, 15, 200]",0.4541,0.7706,0.3258,0.1388,1.0615,1.8262,0.7628,4.5771,394,438,231,74,223,1360
"[5, 15, 233]",0.7606,0.7671,0.4529,0.1278,1.0813,1.3737,0.7606,4.5634,424,436,224,78,230,1392
"[15, 21, 55]",0.3985,0.9149,0.4416,0.3987,1.2369,1.0781,0.7448,4.4687,267,343,172,62,165,1009
"[8, 13, 34]",0.6423,1.1689,0.1865,0.2649,1.4969,0.7084,0.7447,4.4679,390,459,238,82,225,1394
