date,ticker,signal,price,stop_loss,tp
2018-02-23 20:00:00.000,ADA-BTC,short,3.142e-05,3.2e-05,2
2018-02-24 10:00:00.000,LTC-BTC,long,0.020744,0.020095,2
2018-02-26 02:00:00,BTC-USDT,short,9429.61,9754.98,0
2018-03-01 05:00:00.000,ETH-BTC,short,0.081448,0.082999,2
2018-03-01 16:00:00.000,LTC-BTC,short,0.019235,0.01998,1
2018-03-03 08:00:00.000,LTC-BTC,short,0.018638,0.019115,1
2018-03-03 17:00:00.000,ETH-USDT,short,856.02,868.98,2
2018-03-04 01:00:00.000,ETH-BTC,short,0.075402,0.076123,0
2018-03-04 17:00:00,BTC-USDT,long,11515.0,11090.01,0
2018-03-04 21:00:00.000,LTC-BTC,short,0.018339,0.018799,0
2018-03-04 21:00:00.000,ETH-BTC,short,0.07495800000000001,0.077557,1
2018-03-05 13:00:00.000,EOS-BTC,short,0.00069007,0.00071449,2
2018-03-06 07:00:00.000,LTC-BTC,short,0.01819,0.0186,1
2018-03-06 19:00:00.000,LTC-BTC,short,0.018242,0.018564,1
2018-03-06 21:00:00.000,ADA-BTC,short,2.539e-05,2.628e-05,2
2018-03-07 08:00:00.000,XRP-BTC,short,8.396e-05,8.588e-05,1
2018-03-08 23:00:00.000,XRP-BTC,long,8.788e-05,8.548e-05,2
2018-03-09 03:00:00.000,ETH-BTC,long,0.076922,0.0745,1
2018-03-10 21:00:00.000,LTC-BTC,long,0.020453,0.01991,0
2018-03-10 21:00:00.000,XRP-BTC,long,8.94e-05,8.587e-05,0
2018-03-11 01:00:00.000,ETH-BTC,long,0.079029,0.0772,0
2018-03-13 12:00:00.000,ETH-BTC,short,0.075573,0.077186,2
2018-03-13 12:00:00.000,XRP-BTC,short,8.453e-05,8.62e-05,1
2018-03-14 10:00:00.000,XRP-BTC,short,8.416e-05,8.609e-05,2
2018-03-17 10:00:00.000,EOS-BTC,short,0.0006051,0.0006156000000000001,2
2018-03-17 14:00:00.000,ETH-BTC,short,0.070766,0.073556,2
2018-03-19 14:00:00.000,LTC-BTC,short,0.018623,0.018959,0
2018-03-23 09:00:00.000,ETH-BTC,short,0.061504,0.063,1
2018-03-23 10:00:00.000,ETH-BTC,short,0.061082,0.063,1
2018-03-24 00:00:00.000,LTC-BTC,short,0.018657,0.019038,1
2018-03-24 17:00:00.000,ETH-USDT,short,527.0,543.0,1
2018-03-28 08:00:00.000,XRP-BTC,short,7.202e-05,7.335e-05,2
2018-03-28 10:00:00.000,ETH-BTC,short,0.056815,0.057961,2
2018-03-28 11:00:00,BTC-USDT,short,7880.01,8109.0,2
2018-03-28 14:00:00,BTC-USDT,short,7899.94,8109.0,2
2018-03-28 23:00:00.000,ADA-BTC,short,1.957e-05,2.02e-05,1
2018-03-29 01:00:00.000,EOS-BTC,long,0.000786,0.00076675,2
2018-04-02 11:00:00.000,ETH-BTC,short,0.055178,0.0559,2
2018-04-02 14:00:00.000,ETH-BTC,short,0.054673,0.0559,1
2018-04-02 16:00:00.000,ADA-BTC,long,2.154e-05,2.099e-05,1
2018-04-04 01:00:00,BTC-USDT,long,7350.0,7223.0,0
2018-04-06 23:00:00.000,ADA-BTC,short,2.134e-05,2.185e-05,0
2018-04-07 00:00:00.000,XRP-BTC,short,7.114e-05,7.189e-05,2
2018-04-07 08:00:00.000,XRP-BTC,short,7.034e-05,7.15e-05,1
2018-04-08 17:00:00,BTC-USDT,long,7027.0,6937.03,2
2018-04-10 06:00:00.000,ADA-BTC,long,2.226e-05,2.18e-05,2
2018-04-10 09:00:00.000,ETH-USDT,long,399.56,391.4,2
2018-04-10 10:00:00.000,ETH-BTC,long,0.059511,0.0584,2
2018-04-10 11:00:00.000,XRP-BTC,long,7.167e-05,7.09e-05,2
2018-04-10 12:00:00.000,XRP-BTC,long,7.170000000000001e-05,7.09e-05,1
2018-04-11 09:00:00.000,XRP-BTC,long,7.209999999999999e-05,7.09e-05,1
2018-04-13 20:00:00.000,ETH-BTC,long,0.062912,0.0621,1
2018-04-14 17:00:00,BTC-USDT,long,8060.22,7849.46,2
2018-04-14 19:00:00.000,ETH-BTC,long,0.063013,0.061701,1
2018-04-15 00:00:00.000,XRP-BTC,long,8.114e-05,7.935e-05,2
2018-04-15 15:00:00.000,LTC-BTC,short,0.015764,0.016004,0
2018-04-16 02:00:00.000,ETH-BTC,long,0.0634,0.06291000000000001,2
2018-04-16 23:00:00.000,XRP-BTC,long,8.224e-05,8.101e-05,2
2018-04-17 03:00:00.000,ETH-BTC,long,0.06349199999999999,0.062874,1
2018-04-18 07:00:00.000,ETH-USDT,long,517.36,504.08,2
2018-04-18 10:00:00.000,ETH-BTC,long,0.063874,0.063261,2
2018-04-18 17:00:00.000,LTC-BTC,long,0.017158,0.016855000000000002,1
2018-04-18 17:00:00.000,ETH-BTC,long,0.064093,0.063373,1
2018-04-20 13:00:00.000,LTC-BTC,long,0.017646000000000002,0.0175,2
2018-04-20 14:00:00.000,LTC-BTC,long,0.017873,0.0175,0
2018-04-22 02:00:00.000,ETH-USDT,long,611.8,589.0,2
2018-04-22 03:00:00,BTC-USDT,long,8940.03,8762.32,0
2018-04-23 10:00:00.000,EOS-BTC,long,0.0013036,0.0012882999999999998,0
2018-04-23 11:00:00,BTC-USDT,long,8911.54,8831.0,0
2018-04-23 15:00:00,BTC-USDT,long,8924.11,8800.6,2
2018-04-27 00:00:00.000,LTC-BTC,short,0.016287,0.01668,1
2018-04-27 04:00:00.000,ETH-BTC,long,0.0724,0.07067899999999999,1
2018-04-27 10:00:00.000,XRP-BTC,short,9.092e-05,9.181e-05,0
2018-04-28 04:00:00.000,LTC-BTC,short,0.016184999999999998,0.016365,0
2018-04-29 07:00:00.000,LTC-BTC,short,0.016163999999999998,0.016397,0
2018-04-29 15:00:00.000,LTC-BTC,short,0.01623,0.016388999999999997,0
2018-04-29 20:00:00.000,ETH-BTC,long,0.073462,0.072509,2
2018-04-30 04:00:00.000,ETH-USDT,long,688.0,673.18,0
2018-04-30 10:00:00.000,LTC-BTC,short,0.016197,0.016395,2
2018-05-01 10:00:00.000,LTC-BTC,short,0.016155000000000003,0.016316999999999998,0
2018-05-02 20:00:00.000,ETH-BTC,long,0.07511,0.07391,2
2018-05-04 20:00:00,BTC-USDT,long,9809.99,9570.1,1
2018-05-04 21:00:00.000,ETH-BTC,long,0.08164,0.079907,2
2018-05-04 23:00:00.000,ETH-BTC,long,0.08257,0.079907,1
2018-05-08 07:00:00,BTC-USDT,short,9140.0,9475.7,1
2018-05-08 11:00:00.000,XRP-BTC,short,8.758e-05,8.905e-05,2
2018-05-08 12:00:00.000,ADA-BTC,short,3.509e-05,3.6e-05,2
2018-05-09 20:00:00.000,ADA-BTC,short,3.41e-05,3.456e-05,2
2018-05-10 01:00:00.000,XRP-BTC,short,8.519e-05,8.661e-05,2
