date,ticker,signal,price,stop_loss,tp
2018-02-23 20:00:00.000,ADA-BTC,short,3.142e-05,3.2e-05,2
2018-02-24 05:00:00,BTC-USDT,short,9757.0,10496.97,1
2018-02-24 07:00:00.000,LTC-BTC,long,0.020651,0.020095,2
2018-02-24 08:00:00.000,ETH-BTC,long,0.085406,0.081001,1
2018-02-24 10:00:00.000,LTC-BTC,long,0.020744,0.020095,2
2018-02-26 02:00:00,BTC-USDT,short,9429.61,9754.98,0
2018-03-01 05:00:00.000,ETH-BTC,short,0.081448,0.082999,2
2018-03-01 05:00:00,BTC-USDT,long,10671.93,10288.3,2
2018-03-01 16:00:00.000,LTC-BTC,short,0.019235,0.01998,1
2018-03-02 19:00:00.000,ADA-BTC,short,2.644e-05,2.81e-05,1
2018-03-02 20:00:00,BTC-USDT,long,11322.0,10780.0,1
2018-03-03 01:00:00.000,ADA-BTC,short,2.549e-05,2.81e-05,2
2018-03-03 08:00:00.000,LTC-BTC,short,0.018638,0.019115,1
2018-03-03 17:00:00.000,ETH-USDT,short,856.02,868.98,2
2018-03-04 01:00:00.000,ETH-BTC,short,0.075402,0.076123,0
2018-03-04 17:00:00,BTC-USDT,long,11515.0,11090.01,0
2018-03-04 21:00:00.000,LTC-BTC,short,0.018339,0.018799,0
2018-03-04 21:00:00.000,ETH-BTC,short,0.07495800000000001,0.077557,1
2018-03-04 23:00:00.000,ADA-BTC,short,2.509e-05,2.647e-05,0
2018-03-05 13:00:00.000,EOS-BTC,short,0.00069007,0.00071449,2
2018-03-05 19:00:00.000,ADA-BTC,short,2.554e-05,2.693e-05,2
2018-03-06 04:00:00.000,ADA-BTC,short,2.583e-05,2.658e-05,2
2018-03-06 07:00:00.000,LTC-BTC,short,0.01819,0.0186,1
2018-03-06 19:00:00.000,LTC-BTC,short,0.018242,0.018564,1
2018-03-06 21:00:00.000,ADA-BTC,short,2.539e-05,2.628e-05,2
2018-03-07 08:00:00.000,XRP-BTC,short,8.396e-05,8.588e-05,1
2018-03-07 09:00:00.000,XRP-BTC,short,8.337e-05,8.588e-05,0
2018-03-08 09:00:00.000,EOS-BTC,short,0.00063304,0.00066589,0
2018-03-08 12:00:00.000,EOS-BTC,short,0.0006450000000000001,0.00066589,0
2018-03-08 23:00:00.000,XRP-BTC,long,8.788e-05,8.548e-05,2
2018-03-09 00:00:00.000,EOS-BTC,short,0.00062692,0.0006678999999999999,0
2018-03-09 03:00:00.000,ETH-BTC,long,0.076922,0.0745,1
2018-03-10 15:00:00.000,ETH-USDT,short,680.55,739.0,0
2018-03-10 15:00:00,BTC-USDT,short,8789.0,9468.88,0
2018-03-10 21:00:00.000,LTC-BTC,long,0.020453,0.01991,0
2018-03-10 21:00:00.000,XRP-BTC,long,8.94e-05,8.587e-05,0
2018-03-11 01:00:00.000,ETH-BTC,long,0.079029,0.0772,0
2018-03-13 12:00:00.000,ETH-BTC,short,0.075573,0.077186,2
2018-03-13 12:00:00.000,XRP-BTC,short,8.453e-05,8.62e-05,1
2018-03-13 14:00:00,BTC-USDT,short,9069.3,9349.0,2
2018-03-13 22:00:00.000,ADA-BTC,long,2.446e-05,2.325e-05,0
2018-03-14 04:00:00,BTC-USDT,short,8883.74,9333.78,2
2018-03-14 10:00:00.000,XRP-BTC,short,8.416e-05,8.609e-05,2
2018-03-15 10:00:00.000,XRP-BTC,short,8.235e-05,8.775e-05,2
2018-03-15 13:00:00.000,ETH-USDT,short,599.21,621.12,1
2018-03-15 13:00:00,BTC-USDT,short,8126.0,8430.0,1
2018-03-16 05:00:00.000,XRP-BTC,short,8.295e-05,8.690000000000001e-05,2
2018-03-16 07:00:00.000,ETH-USDT,short,602.65,613.72,0
2018-03-16 22:00:00.000,ETH-USDT,short,598.38,624.0,2
2018-03-17 02:00:00,BTC-USDT,short,8186.02,8529.89,2
2018-03-17 06:00:00.000,ETH-BTC,short,0.07304,0.073478,0
2018-03-17 06:00:00.000,EOS-BTC,short,0.00061119,0.00061679,2
2018-03-17 10:00:00.000,EOS-BTC,short,0.0006051,0.0006156000000000001,2
