date,open,high,low,close,volume,signal
2018-01-01 00:00:00.000,8.4531,8.5809,8.418,8.5532,12694.1,
2018-01-01 01:00:00.000,8.5533,8.66,8.3454,8.36,51321.03,
2018-01-01 02:00:00.000,8.3852,8.53,8.3334,8.3706,22876.57,
2018-01-01 03:00:00.000,8.3927,8.4728,8.3355,8.4405,16237.59,
2018-01-01 04:00:00.000,8.4405,8.4409,8.3333,8.3827,13427.35,
2018-01-01 05:00:00.000,8.3827,8.3827,8.0703,8.1599,61064.4,
2018-01-01 06:00:00.000,8.18,8.33,8.1144,8.2,29120.78,
2018-01-01 07:00:00.000,8.2,8.212,7.9285,7.9523,47744.93,
2018-01-01 08:00:00.000,7.9642,8.1829,7.8,8.0944,49573.26,
2018-01-01 09:00:00.000,8.117,8.2,8.0203,8.1101,30322.87,
2018-01-01 10:00:00.000,8.116,8.1336,8.0,8.0101,20182.41,
2018-01-01 11:00:00.000,8.0193,8.1778,8.0002,8.0019,16050.75,
2018-01-01 12:00:00.000,8.0019,8.1,7.9592,8.0647,12765.57,
2018-01-01 13:00:00.000,8.051,8.15,8.02,8.115,12917.09,
2018-01-01 14:00:00.000,8.115,8.2664,8.07,8.1919,20186.84,
2018-01-01 15:00:00.000,8.192,8.3499,8.1707,8.3229,14140.21,
2018-01-01 16:00:00.000,8.3008,8.4,8.2946,8.3706,21459.41,
2018-01-01 17:00:00.000,8.355,8.45,8.3113,8.45,29620.17,
2018-01-01 18:00:00.000,8.45,8.6599,8.4101,8.5801,56771.86,
2018-01-01 19:00:00.000,8.5807,8.6,8.3511,8.4501,48029.84,
2018-01-01 20:00:00.000,8.4707,8.6498,8.34,8.585,86339.45,
2018-01-01 21:00:00.000,8.585,8.585,8.34,8.3986,54246.09,
2018-01-01 22:00:00.000,8.3987,8.4346,8.0922,8.2472,62416.84,
2018-01-01 23:00:00.000,8.2472,8.349,8.115,8.2465,26441.4,
2018-01-02 00:00:00.000,8.2463,8.31,8.1202,8.2658,28294.22,
2018-01-02 01:00:00.000,8.2839,8.32,8.211,8.31,18417.28,
2018-01-02 02:00:00.000,8.31,8.4,8.2868,8.3,18405.24,
2018-01-02 03:00:00.000,8.3,8.47,8.3,8.4528,33788.83,
2018-01-02 04:00:00.000,8.4527,8.5399,8.4007,8.4716,26001.43,
2018-01-02 05:00:00.000,8.4942,8.5,8.3771,8.4244,28144.77,
2018-01-02 06:00:00.000,8.4406,8.4938,8.4251,8.45,22803.01,
2018-01-02 07:00:00.000,8.4601,8.7035,8.4361,8.69,100595.41,
2018-01-02 08:00:00.000,8.69,8.751,8.5006,8.576,45236.4,
2018-01-02 09:00:00.000,8.576,8.6201,8.4589,8.565,36118.91,
2018-01-02 10:00:00.000,8.565,8.69,8.526,8.5739,64828.63,
2018-01-02 11:00:00.000,8.568,8.6698,8.52,8.6501,22409.03,
2018-01-02 12:00:00.000,8.6501,8.8001,8.4629,8.5841,90614.04,
2018-01-02 13:00:00.000,8.4859,8.898,8.2333,8.8888,149434.17,
2018-01-02 14:00:00.000,8.8888,9.1133,8.3,8.8469,142667.37,
2018-01-02 15:00:00.000,8.8467,8.88,8.7,8.8,36018.05,
