index,date,signal,price,stop_loss,tp,index_closed,ticker,net_profit
0,2018-01-03 15:00:00,Long,14926.96,14200.0,0,74,BTC/USD,-0.04870114209457245
1,2018-01-03 17:00:00,Long,14919.51,14401.07,1,70,BTC/USD,0.0017374565250467358
517,2018-01-06 15:00:00,Short,0.05957599879459162,0.06185056902523503,1,137,ETH/BTC,0.001908965251665994
1609,2018-01-07 08:00:00,Short,5.9669999999999996e-05,6.1000000000000005e-05,0,152,ADA/BTC,-0.022289257583375386
247,2018-01-11 12:00:00,Short,1215.04,1249.99,4,255,ETH/USD,0.07047298854358715
1317,2018-01-12 18:00:00,Long,0.00014701000000000002,0.00014164,0,287,XRP/BTC,-0.03652812733827638
2,2018-01-13 16:00:00,Long,14329.99,13923.18,0,309,BTC/USD,-0.028388714856046618
1318,2018-01-15 00:00:00,Short,0.00013419999999999998,0.00013789,4,351,XRP/BTC,0.06736587183308522
1040,2018-01-15 04:00:00,Short,0.0010269699999999999,0.001071,4,361,EOS/BTC,0.10504055619930483
1041,2018-01-18 14:00:00,Long,0.00093594,0.0009000000000000001,4,450,EOS/BTC,0.09407974870183967
1042,2018-01-18 18:00:00,Long,0.0009359300000000001,0.0009000000000000001,4,450,EOS/BTC,0.09405457673116577
1043,2018-01-19 01:00:00,Long,0.0009299,0.00090387,4,450,EOS/BTC,0.0685810302183031
248,2018-01-19 18:00:00,Long,1041.42,1004.13,4,465,ETH/USD,0.08772685371896084
518,2018-01-20 12:00:00,Short,0.08929190640583046,0.0913140492580769,1,470,ETH/BTC,0.0011323214687879066
1610,2018-01-20 18:00:00,Short,5.466999999999999e-05,5.6e-05,2,478,ADA/BTC,0.003649167733674802
1319,2018-01-21 16:00:00,Short,0.00011827,0.00012176000000000001,2,520,XRP/BTC,0.004426312674389121
1320,2018-01-21 22:00:00,Short,0.00011806,0.00012176000000000001,2,520,XRP/BTC,0.00470099949178385
1611,2018-01-22 07:00:00,Short,5.202e-05,5.38e-05,1,514,ADA/BTC,0.001710880430603614
1612,2018-01-23 04:00:00,Short,5.220000000000001e-05,5.306999999999999e-05,2,538,ADA/BTC,0.0024999999999999515
1613,2018-01-23 18:00:00,Short,5.160000000000001e-05,5.250000000000001e-05,1,554,ADA/BTC,0.0008720930232558154
1044,2018-01-24 03:00:00,Short,0.00118959,0.0012143499999999999,1,560,EOS/BTC,0.0010406946931295646
519,2018-01-25 08:00:00,Long,0.09393297320444824,0.0919631795572508,2,586,ETH/BTC,0.003145530658723201
1614,2018-01-25 12:00:00,Long,5.6909999999999996e-05,5.599999999999999e-05,0,591,ADA/BTC,-0.015990159901599073
788,2018-01-25 15:00:00,Short,0.015942959712094557,0.016510933840388833,1,597,LTC/BTC,0.0017812694084129298
789,2018-01-25 18:00:00,Short,0.01595294672208278,0.016510933840388833,1,597,LTC/BTC,0.0017488528233271822
249,2018-01-25 18:00:00,Long,1069.33,1030.26,0,601,ETH/USD,-0.036536896935464205
1045,2018-01-26 04:00:00,Long,0.00128025,0.001239,1,623,EOS/BTC,0.0016110134739308665
790,2018-01-26 12:00:00,Short,0.01587963382579534,0.016589108634014877,1,623,LTC/BTC,0.0022339142577300695
3,2018-01-26 13:00:00,Short,10933.0,11399.0,0,623,BTC/USD,-0.042623250708863074
250,2018-01-26 15:00:00,Short,1040.87,1080.0,0,627,ETH/USD,-0.03759355154822419
520,2018-01-27 02:00:00,Long,0.09543820742335855,0.09279441987918043,2,632,ETH/BTC,0.004155234495002249
1046,2018-01-27 08:00:00,Long,0.00128698,0.001264,0,635,EOS/BTC,-0.017855755334193334
1615,2018-01-28 14:00:00,Short,5.348999999999999e-05,5.425999999999999e-05,1,674,ADA/BTC,0.0007197607029351292
1616,2018-01-28 19:00:00,Short,5.319e-05,5.425999999999999e-05,2,688,ADA/BTC,0.0030174844895656935
1047,2018-01-29 01:00:00,Short,0.00121414,0.0012436100000000002,1,676,EOS/BTC,0.0012136162221819638
1321,2018-01-29 12:00:00,Long,0.0001141,0.00011203,0,687,XRP/BTC,-0.018141980718667825
1617,2018-01-29 18:00:00,Short,5.245000000000001e-05,5.328999999999999e-05,4,714,ADA/BTC,0.03923736892278291
521,2018-01-30 00:00:00,Long,0.10519592571053746,0.10186392798220292,1,699,ETH/BTC,0.0015837104459268852
251,2018-01-30 06:00:00,Short,1162.62,1186.85,4,707,ETH/USD,0.05106010562350558
1322,2018-01-30 14:00:00,Short,0.00011075999999999999,0.00011493999999999998,2,714,XRP/BTC,0.005660888407367268
1048,2018-01-31 08:00:00,Short,0.00112992,0.001165,0,737,EOS/BTC,-0.03104644576607198
